outcome,attack,factor,contrast,block_id,block_effect,within_block_pairs
train_acc,target_model,repetitions,5 - 1,wdbc_b01,-0.052083333333333294,3
train_acc,target_model,repetitions,5 - 1,wdbc_b02,-0.08333333333333337,3
train_acc,target_model,repetitions,5 - 1,wdbc_b03,-0.06875002384185795,3
train_acc,target_model,repetitions,5 - 1,wdbc_b04,-0.08958331743876131,3
train_acc,target_model,repetitions,5 - 1,wdbc_b05,-0.08541663487752275,3
train_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b01,-0.021875023841857966,2
train_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b02,0.003125011920928955,2
train_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b03,-0.025000005960464422,2
train_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b04,-0.09687501192092901,2
train_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b05,-0.04999998211860657,2
train_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,0.046875,2
train_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,0.04374998807907099,2
train_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,0.015625000000000056,2
train_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,0.015625,2
train_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,0.028125017881393488,2
train_acc,target_model,feature_map,ZZ - Z,wdbc_b01,0.06875002384185797,2
train_acc,target_model,feature_map,ZZ - Z,wdbc_b02,0.040624976158142034,2
train_acc,target_model,feature_map,ZZ - Z,wdbc_b03,0.04062500596046448,2
train_acc,target_model,feature_map,ZZ - Z,wdbc_b04,0.11250001192092901,2
train_acc,target_model,feature_map,ZZ - Z,wdbc_b05,0.07812500000000006,2
valid_acc,target_model,repetitions,5 - 1,wdbc_b01,-0.16666666666666663,3
valid_acc,target_model,repetitions,5 - 1,wdbc_b02,-0.17083334922790536,3
valid_acc,target_model,repetitions,5 - 1,wdbc_b03,-0.12916666269302368,3
valid_acc,target_model,repetitions,5 - 1,wdbc_b04,-0.17083330949147538,3
valid_acc,target_model,repetitions,5 - 1,wdbc_b05,-0.11666665474573772,3
valid_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b01,-0.11875000596046453,2
valid_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b02,-0.05625000596046442,2
valid_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b03,-0.0937500298023225,2
valid_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b04,-0.10624998807907104,2
valid_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b05,-0.05625000596046448,2
valid_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.07499998807907104,2
valid_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,0.0124999880790711,2
valid_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,-0.025000035762786976,2
valid_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,-0.03749999403953558,2
valid_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,0.05625000596046448,2
valid_acc,target_model,feature_map,ZZ - Z,wdbc_b01,0.04375001788139349,2
valid_acc,target_model,feature_map,ZZ - Z,wdbc_b02,0.06874999403953552,2
valid_acc,target_model,feature_map,ZZ - Z,wdbc_b03,0.06874999403953552,2
valid_acc,target_model,feature_map,ZZ - Z,wdbc_b04,0.06874999403953547,2
valid_acc,target_model,feature_map,ZZ - Z,wdbc_b05,0.11250001192092896,2
test_acc,target_model,repetitions,5 - 1,wdbc_b01,-0.1681864261627197,3
test_acc,target_model,repetitions,5 - 1,wdbc_b02,-0.129685918490092,3
test_acc,target_model,repetitions,5 - 1,wdbc_b03,-0.15602835019429526,3
test_acc,target_model,repetitions,5 - 1,wdbc_b04,-0.107396145661672,3
test_acc,target_model,repetitions,5 - 1,wdbc_b05,-0.13373859723409018,3
test_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b01,-0.08054715394973755,2
test_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b02,-0.05319148302078247,2
test_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b03,-0.06079027056694031,2
test_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b04,-0.07142853736877436,2
test_acc,target_model,feature_map,Z - EfficientSU2,wdbc_b05,-0.027355611324310303,2
test_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,-0.02127662301063543,2
test_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,0.0030395388603211004,2
test_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,0.006079047918319702,2
test_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,0.009118556976318415,2
test_acc,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,0.03191488981246948,2
test_acc,target_model,feature_map,ZZ - Z,wdbc_b01,0.05927053093910212,2
test_acc,target_model,feature_map,ZZ - Z,wdbc_b02,0.05623102188110357,2
test_acc,target_model,feature_map,ZZ - Z,wdbc_b03,0.06686931848526001,2
test_acc,target_model,feature_map,ZZ - Z,wdbc_b04,0.08054709434509277,2
test_acc,target_model,feature_map,ZZ - Z,wdbc_b05,0.059270501136779785,2
gap,target_model,repetitions,5 - 1,wdbc_b01,0.11610309282938636,3
gap,target_model,repetitions,5 - 1,wdbc_b02,0.046352585156758636,3
gap,target_model,repetitions,5 - 1,wdbc_b03,0.08727832635243733,3
gap,target_model,repetitions,5 - 1,wdbc_b04,0.01781282822291056,3
gap,target_model,repetitions,5 - 1,wdbc_b05,0.048321962356567404,3
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b01,0.058672130107879694,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b02,0.056316494941711454,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b03,0.03579026460647586,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b04,-0.025446474552154548,2
gap,target_model,feature_map,Z - EfficientSU2,wdbc_b05,-0.022644370794296296,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b01,0.06815162301063535,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b02,0.040710449218749944,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b03,0.009545952081680301,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b04,0.006506443023681599,2
gap,target_model,feature_map,ZZ - EfficientSU2,wdbc_b05,-0.003789871931076043,2
gap,target_model,feature_map,ZZ - Z,wdbc_b01,0.009479492902755658,2
gap,target_model,feature_map,ZZ - Z,wdbc_b02,-0.015606045722961495,2
