All arguments: ['/home/najeeb/qurift_satML/pets_tools/run_defense_hsj.py', '--repo-root', '/home/najeeb/qurift_satML', '--targets', '/home/najeeb/qurift_satML/pets_targets/credit_output_defense_targets.csv', '--target-id', 'PETS_CREDIT_low_eff_su2_r1_d6_b02__none', '--run-root', '/home/najeeb/qurift_satML/pets_runs', '--out-dir', '/home/najeeb/qurift_satML/pets_results/defenses', '--device', 'cuda', '--defense', 'none', '--hsj-records-per-class', '20', '--max-queries', '512', '--resume']
The first argument is: --repo-root
[GPU] Respecting CUDA_VISIBLE_DEVICES='0'
Using device: cuda
In SU2 encoder part
multi_index_rule in general encoder plus new is prod 
M Ops: ('XX', 'YY'), Pairs: [(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 0)], Head in_features: 12, classes: 2
/home/najeeb/qurift_satML/reviewer_tools/qurift_target_loader.py:320: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state = torch.load(model_path, map_location=device)
[1/40] attack_calibration member=1 distance=0.22101 queries=386
[2/40] attack_calibration member=1 distance=0.34609 queries=386
[3/40] attack_calibration member=1 distance=0.36862 queries=418
[4/40] attack_calibration member=1 distance=1.3999 queries=387
[5/40] attack_calibration member=1 distance=0 queries=0
[6/40] attack_calibration member=1 distance=0.16891 queries=386
[7/40] attack_calibration member=1 distance=0 queries=0
[8/40] attack_calibration member=1 distance=0 queries=0
[9/40] attack_calibration member=1 distance=0.21194 queries=418
[10/40] attack_calibration member=1 distance=0.31024 queries=386
[11/40] attack_calibration member=1 distance=0.6503 queries=386
[12/40] attack_calibration member=1 distance=0.32915 queries=418
[13/40] attack_calibration member=1 distance=1.6258 queries=386
[14/40] attack_calibration member=1 distance=0.34058 queries=386
[15/40] attack_calibration member=1 distance=0.33146 queries=386
[16/40] attack_calibration member=1 distance=0 queries=0
[17/40] attack_calibration member=1 distance=0.17488 queries=386
[18/40] attack_calibration member=1 distance=0 queries=0
[19/40] attack_calibration member=1 distance=0 queries=0
[20/40] attack_calibration member=1 distance=1.2865 queries=386
[21/40] attack_calibration member=0 distance=0.30079 queries=386
[22/40] attack_calibration member=0 distance=0.15 queries=386
[23/40] attack_calibration member=0 distance=1.534 queries=386
[24/40] attack_calibration member=0 distance=0.31205 queries=386
[25/40] attack_calibration member=0 distance=0 queries=0
[26/40] attack_calibration member=0 distance=0.22548 queries=386
[27/40] attack_calibration member=0 distance=0 queries=0
[28/40] attack_calibration member=0 distance=0 queries=0
[29/40] attack_calibration member=0 distance=0.60954 queries=386
[30/40] attack_calibration member=0 distance=0.16833 queries=386
[31/40] attack_calibration member=0 distance=0.25271 queries=386
[32/40] attack_calibration member=0 distance=0.31771 queries=386
[33/40] attack_calibration member=0 distance=0.21147 queries=418
[34/40] attack_calibration member=0 distance=0.31837 queries=386
[35/40] attack_calibration member=0 distance=1.6342 queries=387
[36/40] attack_calibration member=0 distance=0 queries=0
[37/40] attack_calibration member=0 distance=0.19887 queries=418
[38/40] attack_calibration member=0 distance=0 queries=0
[39/40] attack_calibration member=0 distance=0 queries=0
[40/40] attack_calibration member=0 distance=0.25768 queries=386
[1/40] final_evaluation member=1 distance=0.20702 queries=386
[2/40] final_evaluation member=1 distance=0.27241 queries=386
[3/40] final_evaluation member=1 distance=0.51741 queries=386
[4/40] final_evaluation member=1 distance=0.23154 queries=386
[5/40] final_evaluation member=1 distance=0.20985 queries=386
[6/40] final_evaluation member=1 distance=0 queries=0
[7/40] final_evaluation member=1 distance=0.34592 queries=386
[8/40] final_evaluation member=1 distance=0 queries=0
[9/40] final_evaluation member=1 distance=0 queries=0
[10/40] final_evaluation member=1 distance=0.86735 queries=386
[11/40] final_evaluation member=1 distance=0.15795 queries=386
[12/40] final_evaluation member=1 distance=0.13815 queries=386
[13/40] final_evaluation member=1 distance=0.22202 queries=386
[14/40] final_evaluation member=1 distance=0.26156 queries=386
[15/40] final_evaluation member=1 distance=0.16145 queries=386
[16/40] final_evaluation member=1 distance=0 queries=0
