name,kind,target_id,structural_cell_id,reference_id,gpu,status,returncode,seconds,log
train_eff_su2_r1_d6_wd0_blockpets_b03_ref006,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__none,eff_su2_r1_d6_wd0_blockpets_b03,6,0,ok,0,530.8636746406555,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b03_ref006.log
train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref003,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,eff_su2_r1_d6_wd0.001_blockpets_b03,3,0,ok,0,531.4332547187805,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref003.log
train_eff_su2_r1_d6_wd0.001_blockpets_b02_ref007,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b02__l2,eff_su2_r1_d6_wd0.001_blockpets_b02,7,3,ok,0,532.0901894569397,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b02_ref007.log
train_eff_su2_r1_d6_wd0_blockpets_b02_ref002,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b02__none,eff_su2_r1_d6_wd0_blockpets_b02,2,2,ok,0,532.5349802970886,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b02_ref002.log
train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref004,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,eff_su2_r1_d6_wd0.001_blockpets_b03,4,1,ok,0,533.811576128006,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref004.log
train_eff_su2_r1_d6_wd0.001_blockpets_b02_ref001,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b02__l2,eff_su2_r1_d6_wd0.001_blockpets_b02,1,2,ok,0,534.0224874019623,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b02_ref001.log
train_eff_su2_r1_d6_wd0_blockpets_b03_ref004,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__none,eff_su2_r1_d6_wd0_blockpets_b03,4,3,ok,0,536.3509902954102,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b03_ref004.log
train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref005,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,eff_su2_r1_d6_wd0.001_blockpets_b03,5,2,ok,0,536.5132527351379,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref005.log
train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref000,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,eff_su2_r1_d6_wd0.001_blockpets_b03,0,2,ok,0,536.9832623004913,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref000.log
train_eff_su2_r1_d6_wd0_blockpets_b02_ref005,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b02__none,eff_su2_r1_d6_wd0_blockpets_b02,5,5,ok,0,550.1852633953094,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b02_ref005.log
train_eff_su2_r1_d6_wd0.001_blockpets_b02_ref003,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b02__l2,eff_su2_r1_d6_wd0.001_blockpets_b02,3,5,ok,0,560.7387681007385,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b02_ref003.log
train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref007,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,eff_su2_r1_d6_wd0.001_blockpets_b03,7,5,ok,0,566.404153585434,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref007.log
train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref002,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__l2,eff_su2_r1_d6_wd0.001_blockpets_b03,2,5,ok,0,576.6215560436249,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b03_ref002.log
train_eff_su2_r1_d6_wd0_blockpets_b03_ref000,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__none,eff_su2_r1_d6_wd0_blockpets_b03,0,5,ok,0,577.0970907211304,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b03_ref000.log
train_eff_su2_r1_d6_wd0_blockpets_b03_ref005,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b03__none,eff_su2_r1_d6_wd0_blockpets_b03,5,5,ok,0,578.753909111023,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b03_ref005.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref000,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,0,7,ok,0,371.9568831920624,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref000.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref001,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,1,4,ok,0,373.3709225654602,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref001.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref002,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,2,0,ok,0,495.7918403148651,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref002.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref003,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,3,1,ok,0,494.0932629108429,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref003.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref004,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,4,3,ok,0,496.10657930374146,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref004.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref005,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,5,1,ok,0,488.77590250968933,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref005.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref006,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,6,2,ok,0,485.53558135032654,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref006.log
train_eff_su2_r1_d6_wd0_blockpets_b04_ref007,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__none,eff_su2_r1_d6_wd0_blockpets_b04,7,1,ok,0,500.6960530281067,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b04_ref007.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref000,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,0,0,ok,0,497.59377360343933,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref000.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref000,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,0,0,ok,0,501.9286136627197,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref000.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref003,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,3,0,ok,0,501.4851040840149,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref003.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref002,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,2,2,ok,0,502.2234661579132,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref002.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref001,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,1,3,ok,0,502.58609676361084,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref001.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref006,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,6,1,ok,0,503.30472135543823,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref006.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref002,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,2,0,ok,0,499.8634054660797,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref002.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref004,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,4,3,ok,0,504.55213475227356,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref004.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref007,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,7,3,ok,0,504.1983063220978,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref007.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref003,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,3,3,ok,0,500.8546311855316,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref003.log
train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref005,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b04__l2,eff_su2_r1_d6_wd0.001_blockpets_b04,5,1,ok,0,506.13353419303894,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b04_ref005.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref001,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,1,0,ok,0,506.6656856536865,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref001.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref007,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,7,3,ok,0,502.5919780731201,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref007.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref004,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,4,2,ok,0,506.7676360607147,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref004.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref005,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,5,1,ok,0,505.9348876476288,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref005.log
train_eff_su2_r1_d6_wd0_blockpets_b05_ref006,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__none,eff_su2_r1_d6_wd0_blockpets_b05,6,2,ok,0,510.002409696579,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0_blockpets_b05_ref006.log
train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref001,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6_wd0.001_blockpets_b05,1,2,ok,0,510.7072253227234,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref001.log
train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref000,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6_wd0.001_blockpets_b05,0,2,ok,0,513.423300743103,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref000.log
train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref002,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6_wd0.001_blockpets_b05,2,5,ok,0,544.7457065582275,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref002.log
train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref003,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6_wd0.001_blockpets_b05,3,5,ok,0,539.368570804596,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref003.log
train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref004,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6_wd0.001_blockpets_b05,4,5,ok,0,553.958084821701,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref004.log
train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref006,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6_wd0.001_blockpets_b05,6,5,ok,0,549.1674385070801,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref006.log
train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref005,train_reference,PETS_CREDIT_low_eff_su2_r1_d6_b05__l2,eff_su2_r1_d6_wd0.001_blockpets_b05,5,5,ok,0,553.1637613773346,/home/najeeb/qurift_satML/pets_results/lira_references/logs/train_eff_su2_r1_d6_wd0.001_blockpets_b05_ref005.log
